player,ipl_team,country
SC Ganguly,Kolkata Knight Riders,India
BB McCullum,Kolkata Knight Riders,New Zealand
RT Ponting,Kolkata Knight Riders,Australia
DJ Hussey,Kolkata Knight Riders,Australia
Mohammad Hafeez,Kolkata Knight Riders,Pakistan
R Dravid,Royal Challengers Bangalore,India
W Jaffer,Royal Challengers Bangalore,India
V Kohli,Royal Challengers Bangalore,India
JH Kallis,Royal Challengers Bangalore,South Africa
CL White,Royal Challengers Bangalore,Australia
MV Boucher,Royal Challengers Bangalore,South Africa
B Akhil,Royal Challengers Bangalore,India
AA Noffke,Royal Challengers Bangalore,Australia
P Kumar,Royal Challengers Bangalore,India
Z Khan,Royal Challengers Bangalore,India
SB Joshi,Royal Challengers Bangalore,India
PA Patel,Chennai Super Kings,India
ML Hayden,Chennai Super Kings,Australia
MEK Hussey,Chennai Super Kings,Australia
MS Dhoni,Chennai Super Kings,India
SK Raina,Chennai Super Kings,India
JDP Oram,Chennai Super Kings,New Zealand
S Badrinath,Chennai Super Kings,India
K Goel,Punjab Kings,India
JR Hopes,Punjab Kings,Australia
KC Sangakkara,Punjab Kings,Sri Lanka
Yuvraj Singh,Punjab Kings,India
SM Katich,Punjab Kings,Australia
IK Pathan,Punjab Kings,India
T Kohli,Rajasthan Royals,India
YK Pathan,Rajasthan Royals,India
SR Watson,Rajasthan Royals,Australia
M Kaif,Rajasthan Royals,India
DS Lehmann,Rajasthan Royals,Australia
RA Jadeja,Rajasthan Royals,India
M Rawat,Rajasthan Royals,India
D Salunkhe,Rajasthan Royals,India
SK Warne,Rajasthan Royals,Australia
SK Trivedi,Rajasthan Royals,India
G Gambhir,Delhi Capitals,India
V Sehwag,Delhi Capitals,India
S Dhawan,Delhi Capitals,India
L Ronchi,Mumbai Indians,Australia
L Ronchi,Mumbai Indians,New Zealand
ST Jayasuriya,Mumbai Indians,Sri Lanka
DJ Thornely,Mumbai Indians,India
RV Uthappa,Mumbai Indians,India
PR Shah,Mumbai Indians,India
AM Nayar,Mumbai Indians,India
SM Pollock,Mumbai Indians,South Africa
Harbhajan Singh,Mumbai Indians,India
S Chanderpaul,Royal Challengers Bangalore,West Indies
LRPL Taylor,Royal Challengers Bangalore,New Zealand
AC Gilchrist,Deccan Chargers,Australia
Y Venugopal Rao,Deccan Chargers,India
VVS Laxman,Deccan Chargers,India
A Symonds,Deccan Chargers,Australia
RG Sharma,Deccan Chargers,India
SB Styris,Deccan Chargers,New Zealand
AS Yadav,Deccan Chargers,India
SB Bangar,Deccan Chargers,India
WPUJC Vaas,Deccan Chargers,Sri Lanka
RP Singh,Deccan Chargers,India
WP Saha,Kolkata Knight Riders,India
LR Shukla,Kolkata Knight Riders,India
DPMD Jayawardene,Punjab Kings,Sri Lanka
S Sohal,Punjab Kings,India
B Lee,Punjab Kings,Australia
PP Chawla,Punjab Kings,India
WA Mota,Punjab Kings,India
Kamran Akmal,Rajasthan Royals,Pakistan
Shahid Afridi,Deccan Chargers,Pakistan
DJ Bravo,Mumbai Indians,West Indies
MA Khote,Mumbai Indians,India
A Nehra,Mumbai Indians,India
GC Smith,Rajasthan Royals,South Africa
Pankaj Singh,Rajasthan Royals,India
RR Sarwan,Punjab Kings,West Indies
S Sreesanth,Punjab Kings,India
VRV Singh,Punjab Kings,India
SS Tiwary,Mumbai Indians,India
DS Kulkarni,Mumbai Indians,India
R Vinay Kumar,Royal Challengers Bangalore,India
AB Agarkar,Kolkata Knight Riders,India
M Kartik,Kolkata Knight Riders,India
I Sharma,Kolkata Knight Riders,India
AM Rahane,Mumbai Indians,India
Shoaib Malik,Delhi Capitals,Pakistan
MK Tiwary,Delhi Capitals,India
KD Karthik,Delhi Capitals,India
R Bhatia,Delhi Capitals,India
MF Maharoof,Delhi Capitals,Sri Lanka
VY Mahesh,Delhi Capitals,India
TM Srivastava,Punjab Kings,India
B Chipli,Royal Challengers Bangalore,India
DW Steyn,Royal Challengers Bangalore,South Africa
DB Das,Kolkata Knight Riders,India
MK Pandey,Mumbai Indians,India
HH Gibbs,Deccan Chargers,South Africa
DNT Zoysa,Deccan Chargers,Sri Lanka
D Kalyankrishna,Deccan Chargers,India
SE Marsh,Punjab Kings,Australia
SA Asnodkar,Rajasthan Royals,India
Sohail Tanvir,Rajasthan Royals,Pakistan
Salman Butt,Kolkata Knight Riders,Pakistan
BJ Hodge,Kolkata Knight Riders,Australia
Umar Gul,Kolkata Knight Riders,Pakistan
AB Dinda,Kolkata Knight Riders,India
SP Fleming,Chennai Super Kings,New Zealand
S Vidyut,Chennai Super Kings,India
JA Morkel,Chennai Super Kings,South Africa
AB de Villiers,Delhi Capitals,South Africa
Misbah-ul-Haq,Royal Challengers Bangalore,Pakistan
YV Takawale,Mumbai Indians,India
RR Raje,Mumbai Indians,India
PJ Sangwan,Delhi Capitals,India
Mohammad Asif,Delhi Capitals,Pakistan
GD McGrath,Delhi Capitals,Australia
Joginder Sharma,Chennai Super Kings,India
MS Gony,Chennai Super Kings,India
M Muralitharan,Chennai Super Kings,Sri Lanka
M Ntini,Chennai Super Kings,South Africa
